Name,Core,Max Frequency,Base Frequency,Cache,Gen
i7-8809G,4,4.2,3.1,8,8
i7-8709G,4,4.1,3.1,8,8
i7-8706G,4,4.1,3.1,8,8
i7-8705G,4,4.1,3.1,8,8
i7-8700K,6,4.7,3.7,12,8
i7-8700,6,4.6,3.2,12,8
i7-8650U,4,4.2,1.9,8,8
i7-8550U,4,4.0,1.8,8,8
i5-8600K,6,4.3,3.6,9,8
i5-8400,6,4.0,2.8,9,8
i5-8350U,4,3.6,1.7,6,8
i5-8305G,4,3.8,2.8,6,8
i5-8250U,4,3.4,1.6,6,8
i3-8350K,4,,4.0,8,8
i3-8130U,2,3.4,2.2,4,8
i3-8100,4,,3.6,6,8
i7-7920HQ,4,4.1,3.1,8,7
i7-7820HQ,4,3.9,2.9,8,7
i7-7820HK,4,3.9,2.9,8,7
i7-7820EQ,4,3.7,3.0,8,7
i7-7700HQ,4,3.8,2.8,6,7
i7-7700,4,4.2,3.6,8,7
i7-7700K,4,4.5,4.2,8,7
i7-7700T,4,3.8,2.9,8,7
i7-7660U,2,4.0,2.5,4,7
i7-7600U,2,3.9,2.8,4,7
i7-7567U,2,4.0,3.5,4,7
i7-7560U,2,3.8,2.4,4,7
i7-7500U,2,3.5,2.7,4,7
i7-7Y75,2,3.6,1.3,4,7
i5-7600K,4,4.2,3.8,6,7
i5-7600T,4,3.7,2.8,6,7
i5-7600,4,4.1,3.5,6,7
i5-7500,4,3.8,3.4,6,7
i5-7500T,4,3.3,2.7,6,7
i5-7442EQ,4,2.9,2.1,6,7
i5-7440HQ,4,3.8,2.8,6,7
i5-7440EQ,4,3.6,2.9,6,7
i5-7400T,4,3.0,2.4,6,7
i5-7400,4,3.5,3.0,6,7
i5-7360U,2,3.6,2.3,4,7
i5-7300U,2,3.5,2.6,3,7
i5-7300HQ,4,3.5,2.5,6,7
i5-7287U,2,3.7,3.3,4,7
i5-7267U,2,3.5,3.1,4,7
i5-7260U,2,3.4,2.2,4,7
i5-7200U,2,3.1,2.5,3,7
i5-7Y54,2,3.2,1.2,4,7
i5-7Y57,2,3.3,1.2,4,7
i3-7350K,2,,4.2,4,7
i3-7320,2,,4.1,4,7
i3-7300,2,,4.0,4,7
i3-7300T,2,,3.5,4,7
i3-7130U,2,,2.7,3,7
i3-7102E,2,,2.1,3,7
i3-7101E,2,,3.9,3,7
i3-7101TE,2,,3.4,3,7
i3-7100T,2,,3.4,3,7
i3-7100E,2,,2.9,3,7
i3-7100,2,,3.9,3,7
i3-7167U,2,,2.8,3,7
i3-7100U,2,,2.4,3,7
i3-7100H,2,,3.0,3,7
m3-7Y32,2,3.0,1.1,4,7
m3-7Y30,2,2.6,1.0,4,7
